home_team,away_team,home_goal,away_goal
Argentina,Germany,1,1
Netherlands,Brazil,2,0
Sweden,Yugoslavia,2,1
Brazil,Poland,0,1
Netherlands,Germany,1,2
Germany,Poland,0,0
Italy,France,2,1
Tunisia,Mexico,3,1
Argentina,Hungary,2,1
Austria,Spain,2,1
Brazil,Sweden,1,1
Netherlands,Iran,3,0
Peru,Scotland,3,1
Poland,Tunisia,1,0
Germany,Mexico,6,0
Argentina,France,2,1
Austria,Sweden,1,0
Brazil,Spain,0,0
Netherlands,Peru,0,0
Scotland,Iran,1,1
France,Hungary,3,1
Poland,Mexico,3,1
Germany,Tunisia,0,0
Argentina,Italy,0,1
Brazil,Austria,1,0
Spain,Sweden,1,0
Peru,Iran,4,1
Scotland,Netherlands,3,2
Austria,Netherlands,1,5
Italy,Germany,0,0
Brazil,Peru,3,0
Argentina,Poland,2,0
Italy,Austria,1,0
Netherlands,Germany,2,2
Argentina,Brazil,0,0
Austria,Germany,3,2
Italy,Netherlands,1,2
Brazil,Poland,3,1
Argentina,Peru,6,0
Brazil,Italy,2,1
Argentina,Netherlands,3,1
Argentina,Belgium,0,1
Brazil,Soviet Union,2,1
Scotland,New Zealand,5,2
Germany,Algeria,1,2
England,France,3,1
Spain,Honduras,1,1
Chile,Austria,0,1
Argentina,Hungary,4,1
Brazil,Scotland,4,1
Belgium,El Salvador,1,0
Soviet Union,New Zealand,3,0
Germany,Chile,4,1
England,Czechoslovakia,2,0
Spain,Yugoslavia,2,1
Algeria,Austria,0,2
France,Kuwait,4,1
Belgium,Hungary,1,1
Soviet Union,Scotland,2,2
Argentina,El Salvador,2,0
Brazil,New Zealand,4,0
Algeria,Chile,3,2
France,Czechoslovakia,1,1
Germany,Austria,1,0
England,Kuwait,1,0
Spain,Northern Ireland,0,1
Austria,France,0,1
Poland,Belgium,3,0
Italy,Argentina,2,1
Germany,England,0,0
Austria,Northern Ireland,2,2
Belgium,Soviet Union,0,1
Argentina,Brazil,1,3
Germany,Spain,2,1
France,Northern Ireland,4,1
Italy,Brazil,3,2
Spain,England,0,0
Germany,France,3,3
Poland,France,3,2
Italy,Germany,3,1
Spain,Brazil,0,1
Canada,France,0,1
Argentina,South Korea,3,1
Belgium,Mexico,1,2
Algeria,Northern Ireland,1,1
Portugal,England,1,0
Paraguay,Iraq,1,0
Uruguay,Germany,1,1
Scotland,Denmark,0,1
Italy,Argentina,1,1
France,Soviet Union,1,1
South Korea,Bulgaria,1,1
Hungary,Canada,2,0
Brazil,Algeria,1,0
England,Morocco,0,0
Mexico,Paraguay,1,1
Northern Ireland,Spain,1,2
Poland,Portugal,1,0
Iraq,Belgium,1,2
Germany,Scotland,2,1
Denmark,Uruguay,6,1
Hungary,France,0,3
Soviet Union,Canada,2,0
Argentina,Bulgaria,2,0
South Korea,Italy,2,3
Iraq,Mexico,0,1
Paraguay,Belgium,2,2
England,Poland,3,0
Portugal,Morocco,1,3
Algeria,Spain,0,3
Northern Ireland,Brazil,0,3
Denmark,Germany,2,0
Scotland,Uruguay,0,0
Mexico,Bulgaria,2,0
Soviet Union,Belgium,3,4
Brazil,Poland,4,0
Argentina,Uruguay,1,0
Italy,France,0,2
Morocco,Germany,0,1
England,Paraguay,3,0
Denmark,Spain,1,5
Brazil,France,1,1
Germany,Mexico,0,0
Argentina,England,2,1
Spain,Belgium,1,1
France,Germany,0,2
Argentina,Belgium,2,0
Belgium,France,2,4
Argentina,Germany,3,2
Argentina,Cameroon,0,1
United Arab Emirates,Colombia,0,2
Italy,Austria,1,0
United States,Czechoslovakia,1,5
Brazil,Sweden,2,1
Germany,Yugoslavia,4,1
Costa Rica,Scotland,1,0
England,Republic of Ireland,1,1
Belgium,South Korea,2,0
Netherlands,Egypt,1,1
Uruguay,Spain,0,0
Argentina,Soviet Union,2,0
Yugoslavia,Colombia,1,0
Italy,United States,1,0
Austria,Czechoslovakia,0,1
Germany,United Arab Emirates,5,1
Brazil,Costa Rica,1,0
Sweden,Scotland,1,2
England,Netherlands,0,0
Republic of Ireland,Egypt,0,0
Belgium,Uruguay,3,1
South Korea,Spain,1,3
Argentina,Romania,1,1
Germany,Colombia,1,1
Austria,United States,2,1
Brazil,Scotland,1,0
Sweden,Costa Rica,1,2
Belgium,Spain,1,2
South Korea,Uruguay,0,1
England,Egypt,1,0
Republic of Ireland,Netherlands,1,1
Cameroon,Colombia,2,1
Brazil,Argentina,0,1
Germany,Netherlands,2,1
Italy,Uruguay,2,0
Spain,Yugoslavia,1,2
England,Belgium,1,0
Argentina,Yugoslavia,0,0
Czechoslovakia,Germany,0,1
Cameroon,England,2,3
Argentina,Italy,1,1
Germany,England,1,1
Italy,England,2,1
Germany,Argentina,1,0
Germany,Bolivia,1,0
Spain,South Korea,2,2
United States,Switzerland,1,1
Colombia,Romania,1,3
Belgium,Morocco,1,0
Norway,Mexico,1,0
Cameroon,Sweden,2,2
Brazil,Russia,2,0
Netherlands,Saudi Arabia,2,1
Argentina,Greece,4,0
Germany,Spain,1,1
Romania,Switzerland,1,4
United States,Colombia,2,1
Italy,Norway,1,0
South Korea,Bolivia,0,0
Mexico,Republic of Ireland,2,1
Brazil,Cameroon,3,0
Sweden,Russia,3,1
Belgium,Netherlands,1,0
Saudi Arabia,Morocco,2,1
Argentina,Nigeria,2,1
Switzerland,Colombia,0,2
United States,Romania,0,1
Bolivia,Spain,1,3
Germany,South Korea,3,2
Italy,Mexico,1,1
Republic of Ireland,Norway,0,0
Brazil,Sweden,1,1
Belgium,Saudi Arabia,0,1
Morocco,Netherlands,1,2
Argentina,Bulgaria,0,2
Germany,Belgium,3,2
Spain,Switzerland,3,0
Saudi Arabia,Sweden,1,3
Romania,Argentina,3,2
Netherlands,Republic of Ireland,2,0
Brazil,United States,1,0
Mexico,Bulgaria,1,1
Italy,Spain,2,1
Netherlands,Brazil,2,3
Bulgaria,Germany,2,1
Romania,Sweden,2,2
Sweden,Brazil,0,1
Sweden,Bulgaria,4,0
Brazil,Italy,0,0
Brazil,Scotland,2,1
Morocco,Norway,2,2
Cameroon,Austria,1,1
Paraguay,Bulgaria,0,0
Saudi Arabia,Denmark,0,1
France,South Africa,3,0
Spain,Nigeria,2,3
South Korea,Mexico,1,3
Netherlands,Belgium,0,0
Argentina,Japan,1,0
Yugoslavia,Iran,1,0
Jamaica,Croatia,1,3
England,Tunisia,2,0
Romania,Colombia,1,0
Germany,United States,2,0
Scotland,Norway,1,1
Brazil,Morocco,3,0
Chile,Austria,1,1
South Africa,Denmark,1,1
France,Saudi Arabia,4,0
Spain,Paraguay,0,0
Japan,Croatia,0,1
Belgium,Mexico,2,2
Netherlands,South Korea,5,0
Germany,Yugoslavia,2,2
Argentina,Jamaica,5,0
United States,Iran,1,2
Colombia,Tunisia,1,0
Romania,England,2,1
Italy,Austria,2,1
Brazil,Norway,1,2
Scotland,Morocco,0,3
France,Denmark,2,1
South Africa,Saudi Arabia,2,2
Nigeria,Paraguay,1,3
Spain,Bulgaria,6,1
Belgium,South Korea,1,1
Netherlands,Mexico,2,2
Germany,Iran,2,0
United States,Yugoslavia,0,1
Argentina,Croatia,1,0
Japan,Jamaica,1,2
Colombia,England,0,2
Romania,Tunisia,1,1
Italy,Norway,1,0
Brazil,Chile,4,1
France,Paraguay,1,0
Germany,Mexico,2,1
Netherlands,Yugoslavia,2,1
Romania,Croatia,0,1
Argentina,England,2,2
Italy,France,0,0
Brazil,Denmark,3,2
Netherlands,Argentina,2,1
Germany,Croatia,0,3
Brazil,Netherlands,1,1
France,Croatia,2,1
Netherlands,Croatia,1,2
Brazil,France,0,3
France,Senegal,0,1
Uruguay,Denmark,1,2
Germany,Saudi Arabia,8,0
Argentina,Nigeria,1,0
Paraguay,South Africa,2,2
England,Sweden,1,1
Spain,Slovenia,3,1
Croatia,Mexico,0,1
Brazil,Turkey,2,1
Italy,Ecuador,2,0
Japan,Belgium,2,2
South Korea,Poland,2,0
Russia,Tunisia,2,0
United States,Portugal,3,2
Germany,Republic of Ireland,1,1
Denmark,Senegal,1,1
Cameroon,Saudi Arabia,1,0
France,Uruguay,0,0
Sweden,Nigeria,2,1
Spain,Paraguay,3,1
Argentina,England,0,1
South Africa,Slovenia,1,0
Italy,Croatia,1,2
Brazil,China,4,0
Mexico,Ecuador,2,1
Costa Rica,Turkey,1,1
Japan,Russia,1,0
South Korea,United States,1,1
Tunisia,Belgium,1,1
Portugal,Poland,4,0
Denmark,France,2,0
Senegal,Uruguay,3,3
Cameroon,Germany,0,2
Saudi Arabia,Republic of Ireland,0,3
Nigeria,England,0,0
Sweden,Argentina,1,1
Slovenia,Paraguay,1,3
South Africa,Spain,2,3
Costa Rica,Brazil,2,5
Turkey,China,3,0
Ecuador,Croatia,1,0
Mexico,Italy,1,1
Belgium,Russia,3,2
Tunisia,Japan,0,2
Poland,United States,3,1
Portugal,South Korea,0,1
Germany,Paraguay,1,0
Denmark,England,0,3
Sweden,Senegal,1,2
Spain,Republic of Ireland,1,1
Mexico,United States,0,2
Brazil,Belgium,2,0
Japan,Turkey,0,1
South Korea,Italy,2,1
England,Brazil,1,2
Germany,United States,1,0
Spain,South Korea,0,0
Senegal,Turkey,0,1
Germany,South Korea,1,0
Brazil,Turkey,1,0
South Korea,Turkey,2,3
Germany,Brazil,0,2
Germany,Costa Rica,4,2
Poland,Ecuador,0,2
England,Paraguay,1,0
Trinidad and Tobago,Sweden,0,0
Argentina,Ivory Coast,2,1
Serbia and Montenegro,Netherlands,0,1
Mexico,Iran,3,1
Angola,Portugal,0,1
Australia,Japan,3,1
United States,Czechia,0,3
Italy,Ghana,2,0
South Korea,Togo,2,1
France,Switzerland,0,0
Brazil,Croatia,1,0
Spain,Ukraine,4,0
Tunisia,Saudi Arabia,2,2
Germany,Poland,1,0
Ecuador,Costa Rica,3,0
England,Trinidad and Tobago,2,0
Sweden,Paraguay,1,0
Argentina,Serbia and Montenegro,6,0
Netherlands,Ivory Coast,2,1
Mexico,Angola,0,0
Portugal,Iran,2,0
Czechia,Ghana,0,2
Italy,United States,1,1
Japan,Croatia,0,0
Brazil,Australia,2,0
France,South Korea,1,1
Togo,Switzerland,0,2
Saudi Arabia,Ukraine,0,4
Spain,Tunisia,3,1
Ecuador,Germany,0,3
Paraguay,Trinidad and Tobago,2,0
Sweden,England,2,2
Iran,Angola,1,1
Portugal,Mexico,2,1
Ivory Coast,Serbia and Montenegro,3,2
Netherlands,Argentina,0,0
Czechia,Italy,0,2
Ghana,United States,2,1
Croatia,Australia,2,2
Japan,Brazil,1,4
Saudi Arabia,Spain,0,1
Ukraine,Tunisia,1,0
Switzerland,South Korea,2,0
Togo,France,0,2
Germany,Sweden,2,0
Argentina,Mexico,2,1
England,Ecuador,1,0
Portugal,Netherlands,1,0
Italy,Australia,1,0
Switzerland,Ukraine,0,0
Brazil,Ghana,3,0
Spain,France,1,3
Germany,Argentina,1,1
England,Portugal,0,0
Brazil,France,0,1
Germany,Italy,0,2
Portugal,France,0,1
Germany,Portugal,3,1
Italy,France,1,1
South Africa,Mexico,1,1
Uruguay,France,0,0
South Korea,Greece,2,0
Argentina,Nigeria,1,0
England,United States,1,1
Algeria,Slovenia,0,1
Serbia,Ghana,0,1
Germany,Australia,4,0
Netherlands,Denmark,2,0
Japan,Cameroon,1,0
Italy,Paraguay,1,1
New Zealand,Slovakia,1,1
Ivory Coast,Portugal,0,0
Brazil,North Korea,2,1
Spain,Switzerland,0,1
South Africa,Uruguay,0,3
Argentina,South Korea,4,1
France,Mexico,0,2
Germany,Serbia,0,1
Slovenia,United States,2,2
England,Algeria,0,0
Netherlands,Japan,1,0
Ghana,Australia,1,1
Slovakia,Paraguay,0,2
Italy,New Zealand,1,1
Brazil,Ivory Coast,3,1
Portugal,North Korea,7,0
Chile,Switzerland,1,0
Spain,Honduras,2,0
France,South Africa,1,2
Mexico,Uruguay,0,1
Greece,Argentina,0,2
Nigeria,South Korea,2,2
Slovenia,England,0,1
United States,Algeria,1,0
Australia,Serbia,2,1
Ghana,Germany,0,1
Paraguay,New Zealand,0,0
Cameroon,Netherlands,1,2
Denmark,Japan,1,3
North Korea,Ivory Coast,0,3
Portugal,Brazil,0,0
Chile,Spain,1,2
Switzerland,Honduras,0,0
Uruguay,South Korea,2,1
United States,Ghana,1,2
Germany,England,4,1
Argentina,Mexico,3,1
Netherlands,Slovakia,2,1
Brazil,Chile,3,0
Paraguay,Japan,0,0
Spain,Portugal,1,0
Netherlands,Brazil,2,1
Uruguay,Ghana,1,1
Argentina,Germany,0,4
Paraguay,Spain,0,1
Uruguay,Netherlands,2,3
Germany,Spain,0,1
Uruguay,Germany,2,3
Netherlands,Spain,0,1
Brazil,Croatia,3,1
Mexico,Cameroon,1,0
Spain,Netherlands,1,5
Chile,Australia,3,1
Colombia,Greece,3,0
Uruguay,Costa Rica,1,3
England,Italy,1,2
Ivory Coast,Japan,2,1
Switzerland,Ecuador,2,1
France,Honduras,3,0
Argentina,Bosnia and Herzegovina,2,1
Germany,Portugal,4,0
Iran,Nigeria,0,0
Ghana,United States,1,2
Belgium,Algeria,2,1
Brazil,Mexico,0,0
Russia,South Korea,1,1
Australia,Netherlands,2,3
Spain,Chile,0,2
Cameroon,Croatia,0,4
Colombia,Ivory Coast,2,1
Uruguay,England,2,1
Japan,Greece,0,0
Switzerland,France,2,5
Honduras,Ecuador,1,2
Argentina,Iran,1,0
Germany,Ghana,2,2
Nigeria,Bosnia and Herzegovina,1,0
Belgium,Russia,1,0
South Korea,Algeria,2,4
United States,Portugal,2,2
Australia,Spain,0,3
Netherlands,Chile,2,0
Cameroon,Brazil,1,4
Croatia,Mexico,1,3
Costa Rica,England,0,0
Italy,Uruguay,0,1
Japan,Colombia,1,4
Greece,Ivory Coast,2,1
Bosnia and Herzegovina,Iran,3,1
Nigeria,Argentina,2,3
Honduras,Switzerland,0,3
Ecuador,France,0,0
Portugal,Ghana,2,1
United States,Germany,0,1
Algeria,Russia,1,1
South Korea,Belgium,0,1
Brazil,Chile,1,1
Colombia,Uruguay,2,0
Netherlands,Mexico,2,1
France,Nigeria,2,0
Germany,Algeria,2,1
Argentina,Switzerland,1,0
Belgium,United States,2,1
France,Germany,0,1
Brazil,Colombia,2,1
Argentina,Belgium,1,0
Netherlands,Costa Rica,0,0
Brazil,Germany,1,7
Netherlands,Argentina,0,0
Brazil,Netherlands,0,3
Germany,Argentina,1,0
Russia,Saudi Arabia,5,0
Egypt,Uruguay,0,1
Morocco,Iran,0,1
Portugal,Spain,3,3
France,Australia,2,1
Argentina,Iceland,1,1
Croatia,Nigeria,2,0
Germany,Mexico,0,1
Brazil,Switzerland,1,1
Sweden,South Korea,1,0
Belgium,Panama,3,0
Tunisia,England,1,2
Colombia,Japan,1,2
Poland,Senegal,1,2
Russia,Egypt,3,1
Portugal,Morocco,1,0
Uruguay,Saudi Arabia,1,0
Iran,Spain,0,1
Denmark,Australia,1,1
France,Peru,1,0
Argentina,Croatia,0,3
Brazil,Costa Rica,2,0
Serbia,Switzerland,1,2
Belgium,Tunisia,5,2
South Korea,Mexico,1,2
Germany,Sweden,2,1
England,Panama,6,1
Japan,Senegal,2,2
Poland,Colombia,0,3
Saudi Arabia,Egypt,2,1
Uruguay,Russia,3,0
Spain,Morocco,2,2
Iran,Portugal,1,1
Australia,Peru,0,2
Denmark,France,0,0
Iceland,Croatia,1,2
Nigeria,Argentina,1,2
South Korea,Germany,2,0
Mexico,Sweden,0,3
Serbia,Brazil,0,2
Switzerland,Costa Rica,2,2
Japan,Poland,0,1
Senegal,Colombia,0,1
England,Belgium,0,1
Panama,Tunisia,1,2
France,Argentina,4,3
Uruguay,Portugal,2,1
Spain,Russia,1,1
Croatia,Denmark,1,1
Brazil,Mexico,2,0
Belgium,Japan,3,2
Sweden,Switzerland,1,0
Colombia,England,1,1
Uruguay,France,0,2
Brazil,Belgium,1,2
Sweden,England,0,2
Russia,Croatia,2,2
France,Belgium,1,0
Croatia,England,2,1
Belgium,England,2,0
France,Croatia,4,2
Paraguay,Peru,0,0
Colombia,Venezuela,1,0
Argentina,Ecuador,1,0
Uruguay,Chile,3,1
Brazil,Bolivia,5,1
Bolivia,Argentina,0,3
Ecuador,Uruguay,2,1
Venezuela,Paraguay,1,0
Chile,Colombia,0,0
Peru,Brazil,0,1
Bolivia,Ecuador,1,2
Colombia,Uruguay,2,2
Argentina,Paraguay,1,0
Brazil,Venezuela,1,1
Paraguay,Bolivia,1,0
Ecuador,Colombia,0,0
Uruguay,Brazil,2,0
Peru,Argentina,0,2
Venezuela,Ecuador,0,0
Colombia,Brazil,2,1
Argentina,Uruguay,0,2
Chile,Paraguay,0,0
Ecuador,Chile,1,0
Paraguay,Colombia,0,1
Brazil,Argentina,0,1
Uruguay,Bolivia,3,0
Argentina,Chile,3,0
Uruguay,Paraguay,0,0
Brazil,Ecuador,1,0
Peru,Colombia,1,1
Colombia,Argentina,2,1
Ecuador,Peru,1,0
Paraguay,Brazil,1,0
Venezuela,Uruguay,0,0
Bolivia,Colombia,1,0
Ecuador,Paraguay,0,0
Venezuela,Argentina,1,1
Chile,Brazil,1,2
Peru,Uruguay,1,0
Colombia,Chile,4,0
Paraguay,Venezuela,2,1
Uruguay,Ecuador,0,0
Argentina,Bolivia,6,0
Brazil,Peru,4,0
Bolivia,Paraguay,2,2
Colombia,Ecuador,0,1
Argentina,Peru,1,0
Brazil,Uruguay,1,1
Ecuador,Bolivia,4,0
Uruguay,Colombia,3,2
Paraguay,Argentina,2,1
Venezuela,Brazil,1,1
Paraguay,Chile,1,0
Brazil,Colombia,2,1
Ecuador,Venezuela,2,1
Uruguay,Argentina,0,1
Bolivia,Uruguay,0,0
Chile,Ecuador,0,0
Colombia,Paraguay,2,2
Argentina,Brazil,4,1
Paraguay,Uruguay,2,0
Ecuador,Brazil,0,0
Chile,Argentina,0,1
Colombia,Peru,0,0
Uruguay,Venezuela,2,0
Argentina,Colombia,1,1
Brazil,Paraguay,1,0
Peru,Ecuador,0,0
Colombia,Bolivia,3,0
Uruguay,Peru,3,0
Paraguay,Ecuador,0,0
Argentina,Venezuela,3,0
Brazil,Chile,3,0
Bolivia,Brazil,1,0
Venezuela,Colombia,3,6
Chile,Uruguay,0,0
Peru,Paraguay,0,1
Ecuador,Argentina,1,0
Norway,Italy,3,0
Norway,Israel,5,0
Norway,Estonia,4,1
Norway,Moldova,1,1
Italy,Norway,1,4
Israel,Norway,2,4
Estonia,Norway,0,1
Moldova,Norway,0,5
Netherlands,Poland,1,1
Netherlands,Finland,4,0
Netherlands,Malta,8,0
Netherlands,Lithuania,4,0
Poland,Netherlands,1,1
Finland,Netherlands,0,2
Malta,Netherlands,0,4
Lithuania,Netherlands,2,3
England,Albania,2,0
England,Serbia,2,0
England,Latvia,3,0
England,Andorra,2,0
Albania,England,0,2
Serbia,England,0,5
Latvia,England,0,5
Andorra,England,0,1
Faroe Islands,Croatia,0,1
Austria,Bosnia & Herzegovina,1,1
Austria,Cyprus,1,0
Austria,San Marino,1,0
North Macedonia,Belgium,1,1
Croatia,Czech Republic,5,1
Croatia,Montenegro,4,0
Gibraltar,Croatia,0,7
Switzerland,Kosovo,4,0
Kosovo,Switzerland,1,1
Switzerland,Slovenia,3,0
Kosovo,Sweden,2,0
Slovenia,Sweden,2,2
Denmark,Scotland,0,0
Scotland,Greece,3,1
Scotland,Belarus,2,1
France,Ukraine,4,0
France,Iceland,2,1
Austria,Romania,2,1
Liechtenstein,Belgium,0,6
Belgium,Kazakhstan,6,0
Croatia,Faroe Islands,3,1
Slovakia,Germany,2,0
Bulgaria,Spain,0,3
Georgia,Turkey,2,3
Armenia,Portugal,0,5
Germany,Northern Ireland,3,1
Turkey,Spain,0,6
Hungary,Portugal,2,3
Slovenia,Switzerland,0,0
Sweden,Switzerland,0,2
Sweden,Kosovo,0,1
Iceland,France,2,2
Romania,Austria,1,0
Cyprus,Austria,0,2
Belgium,North Macedonia,0,0
Wales,Belgium,2,4
Germany,Luxembourg,4,0
Bulgaria,Turkey,1,6
Spain,Georgia,2,0
Portugal,Republic of Ireland,1,0
Northern Ireland,Germany,0,1
Turkey,Georgia,4,1
Spain,Bulgaria,4,0
Portugal,Hungary,2,2
Switzerland,Sweden,4,1
Sweden,Slovenia,1,1
Scotland,Denmark,4,2
Greece,Scotland,3,2
Belarus,Scotland,0,2
Ukraine,France,0,2
France,Azerbaijan,3,0
Azerbaijan,France,1,3
Bosnia & Herzegovina,Austria,1,2
San Marino,Austria,0,4
Belgium,Liechtenstein,7,0
Belgium,Wales,4,3
Kazakhstan,Belgium,1,1
Czech Republic,Croatia,0,0
Montenegro,Croatia,2,3
Croatia,Gibraltar,3,0
Republic of Ireland,Portugal,2,0
Germany,Slovakia,6,0
Georgia,Spain,0,4
Turkey,Bulgaria,2,0
Portugal,Armenia,9,1
Luxembourg,Germany,0,2
Spain,Turkey,2,2
Ukraine,Sweden,1,3
Turkey,Romania,1,0
Sweden,Poland,3,2
Turkey,Kosovo,1,0
Qatar,Kuwait,3,0
Qatar,India,2,1
Qatar,Afghanistan,8,1
Kuwait,Qatar,1,2
India,Qatar,0,3
Afghanistan,Qatar,0,0
Japan,North Korea,1,0
Japan,Syria,5,0
Japan,Myanmar,5,0
North Korea,Japan,0,3
Syria,Japan,0,5
Myanmar,Japan,0,5
South Korea,China,1,1
South Korea,Thailand,1,1
South Korea,Singapore,5,0
China,South Korea,0,3
Thailand,South Korea,0,3
Singapore,South Korea,0,7
